# This file was produced by: bcftools roh(1.21+htslib-1.21)
# The command line was:	bcftools roh -G 30 --rec-rate 6.5788e-6 --skip-indels --AF-file /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/AF.tab.gz -O r -o /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_roh_no_trans.txt /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_no_transitions_roh_af_tag.vcf
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	Danaus_plexippus_KS_2023_06	NC_083540.1	4197878	4204884	7007	328	68.3
RG	Danaus_plexippus_KS_2023_06	NC_083540.1	4230628	4248656	18029	458	77.9
RG	Danaus_plexippus_KS_2023_06	NC_083540.1	9289478	9304599	15122	471	75.5
RG	Danaus_plexippus_KS_2023_06	NC_083540.1	9858565	9873666	15102	413	58.5
RG	Danaus_plexippus_KS_2023_06	NC_083540.1	10266574	10278057	11484	390	18.4
RG	Danaus_plexippus_KS_2023_07	NC_083540.1	3268746	3278396	9651	349	11.4
RG	Danaus_plexippus_KS_2023_07	NC_083540.1	5339837	5352259	12423	310	19.4
RG	Danaus_plexippus_KS_2023_07	NC_083540.1	9955885	9961885	6001	192	36.0
RG	Danaus_plexippus_KS_2023_08	NC_083540.1	5532852	5538879	6028	165	37.1
RG	Danaus_plexippus_KS_2023_08	NC_083540.1	8741902	8768078	26177	756	83.6
RG	Danaus_plexippus_KS_2023_08	NC_083540.1	10053644	10060994	7351	97	15.5
RG	Danaus_plexippus_KS_2023_10	NC_083540.1	4594375	4599546	5172	203	47.8
RG	Danaus_plexippus_KS_2023_10	NC_083540.1	10085082	10090552	5471	204	60.3
RG	Danaus_plexippus_KS_2023_11	NC_083540.1	9884457	9895319	10863	395	73.6
RG	Danaus_plexippus_KS_2023_11	NC_083540.1	9924054	9950816	26763	699	77.0
RG	Danaus_plexippus_KS_2023_11	NC_083540.1	9965232	9996234	31003	765	86.9
RG	Danaus_plexippus_KS_2023_19	NC_083540.1	7813831	7837482	23652	134	30.7
RG	Danaus_plexippus_KS_2023_19	NC_083540.1	9788157	9797937	9781	85	25.6
RG	Danaus_plexippus_KS_2023_20	NC_083540.1	7779712	7787519	7808	287	69.7
RG	Danaus_plexippus_MI_1969_02	NC_083540.1	3568861	3573927	5067	153	25.8
RG	Danaus_plexippus_MI_1969_02	NC_083540.1	4539092	4545062	5971	89	25.5
RG	Danaus_plexippus_MI_1987_02	NC_083540.1	9566958	9572830	5873	188	9.2
RG	Danaus_plexippus_MI_1987_03	NC_083540.1	8863519	8871247	7729	258	9.6
RG	Danaus_plexippus_MI_1997_01	NC_083540.1	7713376	7722514	9139	251	54.0
RG	Danaus_plexippus_MI_1997_06	NC_083540.1	8635621	8641117	5497	187	23.0
RG	Danaus_plexippus_MI_2000_01	NC_083540.1	3918299	3929541	11243	357	10.4
RG	Danaus_plexippus_MI_2000_01	NC_083540.1	5032254	5040954	8701	314	13.3
RG	Danaus_plexippus_MN_1983_01	NC_083540.1	10003803	10009155	5353	152	6.7
RG	Danaus_plexippus_MN_1996_03	NC_083540.1	4998675	5013359	14685	495	69.1
RG	Danaus_plexippus_NE_2024_02	NC_083540.1	638917	666865	27949	783	87.4
RG	Danaus_plexippus_NE_2024_02	NC_083540.1	3265253	3280429	15177	499	77.6
RG	Danaus_plexippus_NE_2024_02	NC_083540.1	4133555	4140209	6655	147	22.8
RG	Danaus_plexippus_NE_2024_04	NC_083540.1	10301451	10309118	7668	216	30.2
RG	Danaus_plexippus_NE_2024_05	NC_083540.1	3265406	3282083	16678	533	54.3
RG	Danaus_plexippus_NE_2024_07	NC_083540.1	10161900	10167876	5977	194	11.1
RG	Danaus_plexippus_NE_2024_11	NC_083540.1	5907552	5927797	20246	361	61.2
RG	Danaus_plexippus_NE_2024_12	NC_083540.1	1701712	1720648	18937	642	36.6
RG	Danaus_plexippus_NE_2024_12	NC_083540.1	5896464	5903045	6582	217	7.2
RG	Danaus_plexippus_NE_2024_13	NC_083540.1	9979391	9997281	17891	339	34.9
RG	Danaus_plexippus_NE_2024_15	NC_083540.1	3790517	3846404	55888	503	74.5
RG	Danaus_plexippus_NE_2024_16	NC_083540.1	305444	320196	14753	498	80.9
RG	Danaus_plexippus_NE_2024_17	NC_083540.1	1804446	1809400	4955	193	38.5
RG	Danaus_plexippus_CA_1956_04	NC_083541.1	4960415	4964261	3847	135	26.5
RG	Danaus_plexippus_CA_1956_05	NC_083541.1	2392709	2401046	8338	260	46.5
RG	Danaus_plexippus_CA_1973_02	NC_083541.1	7304274	7309252	4979	167	9.2
RG	Danaus_plexippus_CA_2023_04	NC_083541.1	6860796	6869941	9146	303	9.0
RG	Danaus_plexippus_CA_2023_04	NC_083541.1	7000629	7013709	13081	342	69.3
RG	Danaus_plexippus_CA_2023_04	NC_083541.1	7034613	7040775	6163	200	31.1
RG	Danaus_plexippus_CA_2024_02	NC_083541.1	7942983	7976012	33030	872	82.0
RG	Danaus_plexippus_ID_1997_01	NC_083541.1	414631	429981	15351	407	72.1
RG	Danaus_plexippus_KS_2023_02	NC_083541.1	6926830	6932296	5467	165	27.4
RG	Danaus_plexippus_KS_2023_07	NC_083541.1	5816693	5822573	5881	278	46.6
RG	Danaus_plexippus_KS_2023_10	NC_083541.1	6924627	6933973	9347	208	8.4
RG	Danaus_plexippus_KS_2023_10	NC_083541.1	7080869	7088412	7544	406	56.3
RG	Danaus_plexippus_KS_2023_10	NC_083541.1	8035747	8065713	29967	498	56.8
RG	Danaus_plexippus_KS_2023_11	NC_083541.1	76087	100919	24833	367	56.9
RG	Danaus_plexippus_KS_2023_11	NC_083541.1	6087962	6094396	6435	231	34.9
RG	Danaus_plexippus_KS_2023_16	NC_083541.1	6966079	6972032	5954	266	34.4
RG	Danaus_plexippus_KS_2023_17	NC_083541.1	1039284	1049221	9938	230	46.1
RG	Danaus_plexippus_KS_2023_17	NC_083541.1	4766354	4779954	13601	219	24.1
RG	Danaus_plexippus_KS_2023_18	NC_083541.1	254231	259590	5360	185	27.5
RG	Danaus_plexippus_KS_2023_18	NC_083541.1	3576819	3583673	6855	387	25.9
RG	Danaus_plexippus_MI_1969_02	NC_083541.1	29004	100919	71916	1108	23.9
RG	Danaus_plexippus_MI_1987_03	NC_083541.1	2841603	2847106	5504	188	7.2
RG	Danaus_plexippus_MI_1997_06	NC_083541.1	7701113	7708058	6946	194	24.8
RG	Danaus_plexippus_MI_2000_01	NC_083541.1	759457	784827	25371	159	5.2
RG	Danaus_plexippus_MI_2000_01	NC_083541.1	1682500	1690070	7571	279	20.0
RG	Danaus_plexippus_MI_2000_03	NC_083541.1	3010265	3029429	19165	626	71.4
RG	Danaus_plexippus_MI_2002_01	NC_083541.1	69185	100919	31735	613	52.7
RG	Danaus_plexippus_MN_1983_01	NC_083541.1	2109	69266	67158	934	57.5
RG	Danaus_plexippus_MN_1996_04	NC_083541.1	263499	274477	10979	323	34.3
RG	Danaus_plexippus_NE_2024_02	NC_083541.1	1843235	1849951	6717	220	35.7
RG	Danaus_plexippus_NE_2024_02	NC_083541.1	4192205	4200688	8484	215	9.1
RG	Danaus_plexippus_NE_2024_04	NC_083541.1	868329	878434	10106	318	40.3
RG	Danaus_plexippus_NE_2024_04	NC_083541.1	994431	1003074	8644	265	20.2
RG	Danaus_plexippus_NE_2024_04	NC_083541.1	1594491	1607110	12620	407	70.4
RG	Danaus_plexippus_NE_2024_06	NC_083541.1	1770432	1794242	23811	484	58.8
RG	Danaus_plexippus_NE_2024_06	NC_083541.1	3577015	3583258	6244	351	13.9
RG	Danaus_plexippus_NE_2024_06	NC_083541.1	7117037	7126331	9295	342	83.9
RG	Danaus_plexippus_NE_2024_07	NC_083541.1	7113529	7118690	5162	189	14.8
RG	Danaus_plexippus_NE_2024_08	NC_083541.1	1728	97151	95424	1451	5.6
RG	Danaus_plexippus_NE_2024_08	NC_083541.1	4471350	4483271	11922	423	66.7
RG	Danaus_plexippus_NE_2024_08	NC_083541.1	7748053	7761066	13014	385	11.0
RG	Danaus_plexippus_NE_2024_08	NC_083541.1	7950445	7973730	23286	619	51.5
RG	Danaus_plexippus_NE_2024_10	NC_083541.1	758051	766834	8784	124	7.2
RG	Danaus_plexippus_NE_2024_10	NC_083541.1	1239277	1247370	8094	246	50.9
RG	Danaus_plexippus_NE_2024_11	NC_083541.1	88413	100063	11651	227	24.8
RG	Danaus_plexippus_NE_2024_12	NC_083541.1	944171	972927	28757	642	75.8
RG	Danaus_plexippus_NE_2024_12	NC_083541.1	6736025	6740596	4572	148	13.5
RG	Danaus_plexippus_NE_2024_12	NC_083541.1	7808565	7825873	17309	407	84.2
RG	Danaus_plexippus_NE_2024_13	NC_083541.1	8042576	8066610	24035	381	6.1
RG	Danaus_plexippus_NE_2024_14	NC_083541.1	300164	308162	7999	330	14.1
RG	Danaus_plexippus_NE_2024_14	NC_083541.1	2925508	2941758	16251	579	70.6
RG	Danaus_plexippus_NE_2024_16	NC_083541.1	2042434	2052933	10500	285	54.5
RG	Danaus_plexippus_NE_2024_17	NC_083541.1	5854358	5860228	5871	221	17.0
RG	Danaus_plexippus_NE_2024_17	NC_083541.1	7411168	7419975	8808	285	57.1
RG	Danaus_plexippus_NE_2024_17	NC_083541.1	7685546	7692283	6738	172	63.9
RG	Danaus_plexippus_CA_1956_04	NC_083542.1	157429	163592	6164	208	24.4
RG	Danaus_plexippus_CA_1956_04	NC_083542.1	9388515	9420029	31515	632	76.7
RG	Danaus_plexippus_CA_1956_04	NC_083542.1	9444596	9454754	10159	211	46.2
RG	Danaus_plexippus_CA_1971_01	NC_083542.1	335885	349527	13643	332	16.5
RG	Danaus_plexippus_CA_1971_01	NC_083542.1	10049838	10060335	10498	293	37.8
RG	Danaus_plexippus_CA_2023_04	NC_083542.1	217628	264536	46909	628	23.1
RG	Danaus_plexippus_CA_2023_06	NC_083542.1	2456277	2461111	4835	149	36.0
RG	Danaus_plexippus_CA_2023_07	NC_083542.1	267290	289168	21879	636	42.1
RG	Danaus_plexippus_CA_2024_01	NC_083542.1	5717011	5737052	20042	185	18.9
RG	Danaus_plexippus_CA_2024_03	NC_083542.1	266604	286513	19910	568	17.7
RG	Danaus_plexippus_CA_2024_03	NC_083542.1	3466139	3473421	7283	243	46.6
RG	Danaus_plexippus_ID_1997_02	NC_083542.1	216649	265098	48450	660	43.4
RG	Danaus_plexippus_ID_1997_02	NC_083542.1	7175954	7199067	23114	776	78.6
RG	Danaus_plexippus_ID_1997_02	NC_083542.1	8761252	8770979	9728	270	5.8
RG	Danaus_plexippus_KS_2023_02	NC_083542.1	9928091	9942130	14040	524	82.9
RG	Danaus_plexippus_KS_2023_05	NC_083542.1	2586236	2590940	4705	201	14.8
RG	Danaus_plexippus_KS_2023_06	NC_083542.1	10194061	10197040	2980	46	31.0
RG	Danaus_plexippus_KS_2023_11	NC_083542.1	221822	270547	48726	658	22.9
RG	Danaus_plexippus_KS_2023_16	NC_083542.1	10170625	10292951	122327	490	22.9
RG	Danaus_plexippus_KS_2023_17	NC_083542.1	2302244	2313662	11419	377	66.0
RG	Danaus_plexippus_KS_2023_17	NC_083542.1	2950252	2961895	11644	413	75.8
RG	Danaus_plexippus_KS_2023_17	NC_083542.1	5994778	6001677	6900	219	10.2
RG	Danaus_plexippus_KS_2023_18	NC_083542.1	5709335	5722629	13295	524	24.5
RG	Danaus_plexippus_KS_2023_19	NC_083542.1	5529835	5539767	9933	473	68.5
RG	Danaus_plexippus_KS_2023_19	NC_083542.1	8441821	8451302	9482	280	23.7
RG	Danaus_plexippus_KS_2023_20	NC_083542.1	165849	171414	5566	258	10.1
RG	Danaus_plexippus_KS_2023_20	NC_083542.1	1600041	1607405	7365	218	61.4
RG	Danaus_plexippus_KS_2023_20	NC_083542.1	9491617	9510326	18710	605	74.6
RG	Danaus_plexippus_MI_1969_02	NC_083542.1	8194500	8211592	17093	586	79.2
RG	Danaus_plexippus_MI_1987_03	NC_083542.1	235583	260919	25337	299	47.3
RG	Danaus_plexippus_MI_1987_03	NC_083542.1	1392565	1416387	23823	267	39.7
RG	Danaus_plexippus_MI_1987_03	NC_083542.1	7093189	7104434	11246	178	49.9
RG	Danaus_plexippus_MI_1997_01	NC_083542.1	244364	266774	22411	436	67.2
RG	Danaus_plexippus_MI_2000_02	NC_083542.1	1989631	1995095	5465	214	27.4
RG	Danaus_plexippus_MI_2000_03	NC_083542.1	1674770	1691721	16952	439	72.7
RG	Danaus_plexippus_MI_2000_03	NC_083542.1	10113797	10175727	61931	1085	19.0
RG	Danaus_plexippus_MI_2002_01	NC_083542.1	5647	20514	14868	145	9.0
RG	Danaus_plexippus_MN_1983_01	NC_083542.1	5965640	5970774	5135	188	12.6
RG	Danaus_plexippus_MN_1983_01	NC_083542.1	7004767	7009188	4422	181	11.1
RG	Danaus_plexippus_MN_1996_03	NC_083542.1	8166406	8172415	6010	220	38.3
RG	Danaus_plexippus_NE_2024_03	NC_083542.1	5548500	5558268	9769	256	56.1
RG	Danaus_plexippus_NE_2024_03	NC_083542.1	9352492	9470052	117561	2948	89.7
RG	Danaus_plexippus_NE_2024_03	NC_083542.1	9474788	9579830	105043	2935	96.7
RG	Danaus_plexippus_NE_2024_03	NC_083542.1	9877766	9891351	13586	475	78.3
RG	Danaus_plexippus_NE_2024_04	NC_083542.1	219865	260745	40881	541	9.0
RG	Danaus_plexippus_NE_2024_04	NC_083542.1	3295462	3300810	5349	144	12.5
RG	Danaus_plexippus_NE_2024_04	NC_083542.1	6362690	6377249	14560	261	38.3
RG	Danaus_plexippus_NE_2024_05	NC_083542.1	10177296	10197073	19778	343	61.5
RG	Danaus_plexippus_NE_2024_06	NC_083542.1	5708518	5726087	17570	633	56.4
RG	Danaus_plexippus_NE_2024_06	NC_083542.1	10163552	10197073	33522	618	75.3
RG	Danaus_plexippus_NE_2024_07	NC_083542.1	4721897	4730343	8447	333	70.4
RG	Danaus_plexippus_NE_2024_07	NC_083542.1	6861854	6882232	20379	607	74.4
RG	Danaus_plexippus_NE_2024_08	NC_083542.1	799	6997	6199	56	17.3
RG	Danaus_plexippus_NE_2024_10	NC_083542.1	1938279	1952155	13877	169	65.6
RG	Danaus_plexippus_NE_2024_10	NC_083542.1	3476157	3480926	4770	156	29.6
RG	Danaus_plexippus_NE_2024_10	NC_083542.1	4176641	4181211	4571	175	14.8
RG	Danaus_plexippus_NE_2024_10	NC_083542.1	5708878	5725328	16451	600	39.9
RG	Danaus_plexippus_NE_2024_11	NC_083542.1	219865	263536	43672	589	30.5
RG	Danaus_plexippus_NE_2024_11	NC_083542.1	5179448	5200654	21207	511	78.1
RG	Danaus_plexippus_NE_2024_11	NC_083542.1	5240795	5248196	7402	235	18.3
RG	Danaus_plexippus_NE_2024_11	NC_083542.1	9441386	9457051	15666	213	33.5
RG	Danaus_plexippus_NE_2024_13	NC_083542.1	591	20514	19924	509	52.5
RG	Danaus_plexippus_NE_2024_13	NC_083542.1	50332	67733	17402	482	16.1
RG	Danaus_plexippus_NE_2024_14	NC_083542.1	1617731	1623717	5987	223	10.2
RG	Danaus_plexippus_NE_2024_17	NC_083542.1	155689	161117	5429	208	19.5
RG	Danaus_plexippus_CA_1956_04	NC_083543.1	1888833	1896428	7596	312	8.3
RG	Danaus_plexippus_CA_1956_05	NC_083543.1	8383903	8387328	3426	152	25.3
RG	Danaus_plexippus_CA_1956_05	NC_083543.1	8904140	8914096	9957	280	18.5
RG	Danaus_plexippus_CA_1956_05	NC_083543.1	9228766	9236390	7625	216	23.8
RG	Danaus_plexippus_CA_1973_02	NC_083543.1	5177319	5183375	6057	254	16.7
RG	Danaus_plexippus_CA_2023_04	NC_083543.1	9333896	9427343	93448	2081	96.1
RG	Danaus_plexippus_CA_2023_06	NC_083543.1	71677	90242	18566	650	67.6
RG	Danaus_plexippus_CA_2024_01	NC_083543.1	1811760	1820846	9087	226	22.0
RG	Danaus_plexippus_CA_2024_02	NC_083543.1	2502789	2508318	5530	215	24.9
